uf;data;vitimas
AL;01/01/2020;2
AL;01/01/2020;1
AM;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
BA;01/01/2020;1
CE;01/01/2020;1
CE;01/01/2020;1
CE;01/01/2020;1
DF;01/01/2020;1
DF;01/01/2020;1
DF;01/01/2020;2
ES;01/01/2020;1
ES;01/01/2020;1
ES;01/01/2020;1
ES;01/01/2020;1
GO;01/01/2020;1
MA;01/01/2020;1
MG;01/01/2020;1
MG;01/01/2020;1
MG;01/01/2020;1
MG;01/01/2020;1
MG;01/01/2020;1
MG;01/01/2020;1
MS;01/01/2020;1
MS;01/01/2020;1
MT;01/01/2020;2
MT;01/01/2020;1
MT;01/01/2020;2
PA;01/01/2020;1
PA;01/01/2020;1
PA;01/01/2020;1
PA;01/01/2020;1
PA;01/01/2020;1
PB;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PE;01/01/2020;1
PI;01/01/2020;1
PI;01/01/2020;1
PR;01/01/2020;1
PR;01/01/2020;1
PR;01/01/2020;1
PR;01/01/2020;1
RJ;01/01/2020;1
RJ;01/01/2020;1
RJ;01/01/2020;2
RJ;01/01/2020;1
RJ;01/01/2020;1
RN;01/01/2020;1
RO;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;2
RS;01/01/2020;1
RS;01/01/2020;1
RS;01/01/2020;1
SC;01/01/2020;1
SC;01/01/2020;1
SE;01/01/2020;1
SE;01/01/2020;1
SE;01/01/2020;1
SP;01/01/2020;2
SP;01/01/2020;1
SP;01/01/2020;1
SP;01/01/2020;1
SP;01/01/2020;1
SP;01/01/2020;1
SP;01/01/2020;1
SP;01/01/2020;4
TO;01/01/2020;1
TO;01/01/2020;1
AC;01/02/2020;2
AL;01/02/2020;1
AL;01/02/2020;1
AL;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
BA;01/02/2020;1
CE;01/02/2020;1
CE;01/02/2020;1
ES;01/02/2020;1
GO;01/02/2020;1
GO;01/02/2020;2
GO;01/02/2020;1
GO;01/02/2020;1
MA;01/02/2020;1
MA;01/02/2020;1
MA;01/02/2020;1
MA;01/02/2020;1
MA;01/02/2020;1
MA;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;2
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MG;01/02/2020;1
MS;01/02/2020;1
MS;01/02/2020;1
MS;01/02/2020;1
MT;01/02/2020;1
MT;01/02/2020;1
MT;01/02/2020;1
MT;01/02/2020;1
MT;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;2
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PA;01/02/2020;1
PB;01/02/2020;1
PB;01/02/2020;1
PB;01/02/2020;1
PB;01/02/2020;1
PE;01/02/2020;1
PE;01/02/2020;1
PE;01/02/2020;1
PE;01/02/2020;1
PE;01/02/2020;1
PE;01/02/2020;1
PI;01/02/2020;1
PR;01/02/2020;1
PR;01/02/2020;1
PR;01/02/2020;2
PR;01/02/2020;1
PR;01/02/2020;2
PR;01/02/2020;1
PR;01/02/2020;1
PR;01/02/2020;1
PR;01/02/2020;1
RJ;01/02/2020;1
RJ;01/02/2020;1
RJ;01/02/2020;1
RJ;01/02/2020;1
RJ;01/02/2020;1
RJ;01/02/2020;1
RN;01/02/2020;1
RN;01/02/2020;1
RN;01/02/2020;1
RO;01/02/2020;1
RR;01/02/2020;1
RS;01/02/2020;1
RS;01/02/2020;1
RS;01/02/2020;1
RS;01/02/2020;1
SC;01/02/2020;1
SC;01/02/2020;1
SC;01/02/2020;1
SC;01/02/2020;1
SE;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;1
SP;01/02/2020;5
TO;01/02/2020;1
AC;01/03/2020;2
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
BA;01/03/2020;1
CE;01/03/2020;1
CE;01/03/2020;1
CE;01/03/2020;1
DF;01/03/2020;1
ES;01/03/2020;1
ES;01/03/2020;1
ES;01/03/2020;1
ES;01/03/2020;1
ES;01/03/2020;1
GO;01/03/2020;1
GO;01/03/2020;1
GO;01/03/2020;1
GO;01/03/2020;1
MA;01/03/2020;1
MA;01/03/2020;1
MA;01/03/2020;1
MA;01/03/2020;1
MA;01/03/2020;1
MA;01/03/2020;1
MG;01/03/2020;3
MG;01/03/2020;1
MG;01/03/2020;1
MG;01/03/2020;1
MG;01/03/2020;1
MG;01/03/2020;1
MG;01/03/2020;1
MG;01/03/2020;1
MS;01/03/2020;1
MS;01/03/2020;1
MT;01/03/2020;2
MT;01/03/2020;1
MT;01/03/2020;1
MT;01/03/2020;1
MT;01/03/2020;1
PA;01/03/2020;1
PA;01/03/2020;1
PA;01/03/2020;1
PA;01/03/2020;1
PA;01/03/2020;1
PB;01/03/2020;1
PE;01/03/2020;1
PE;01/03/2020;1
PE;01/03/2020;1
PE;01/03/2020;1
PE;01/03/2020;1
PI;01/03/2020;1
PI;01/03/2020;2
PR;01/03/2020;1
PR;01/03/2020;1
PR;01/03/2020;4
PR;01/03/2020;1
PR;01/03/2020;1
PR;01/03/2020;1
RJ;01/03/2020;1
RJ;01/03/2020;1
RJ;01/03/2020;2
RJ;01/03/2020;1
RN;01/03/2020;1
RN;01/03/2020;1
RN;01/03/2020;1
RN;01/03/2020;1
RO;01/03/2020;1
RO;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;2
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
RS;01/03/2020;1
SC;01/03/2020;1
SC;01/03/2020;1
SC;01/03/2020;1
SC;01/03/2020;1
SC;01/03/2020;2
SE;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;2
SP;01/03/2020;1
SP;01/03/2020;2
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;1
SP;01/03/2020;2
SP;01/03/2020;1
SP;01/03/2020;2
TO;01/03/2020;1
TO;01/03/2020;1
AC;01/04/2020;1
AC;01/04/2020;1
AL;01/04/2020;1
AL;01/04/2020;1
AL;01/04/2020;2
BA;01/04/2020;1
BA;01/04/2020;1
BA;01/04/2020;1
BA;01/04/2020;2
BA;01/04/2020;1
BA;01/04/2020;1
BA;01/04/2020;2
BA;01/04/2020;1
CE;01/04/2020;1
DF;01/04/2020;1
GO;01/04/2020;1
GO;01/04/2020;1
GO;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MA;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;3
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MG;01/04/2020;1
MS;01/04/2020;1
MS;01/04/2020;3
MS;01/04/2020;1
MT;01/04/2020;1
MT;01/04/2020;1
MT;01/04/2020;1
MT;01/04/2020;1
MT;01/04/2020;1
PA;01/04/2020;1
PA;01/04/2020;1
PA;01/04/2020;1
PA;01/04/2020;1
PA;01/04/2020;1
PB;01/04/2020;1
PB;01/04/2020;1
PB;01/04/2020;1
PB;01/04/2020;1
PB;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PE;01/04/2020;1
PI;01/04/2020;1
PR;01/04/2020;1
PR;01/04/2020;1
PR;01/04/2020;2
PR;01/04/2020;1
PR;01/04/2020;1
PR;01/04/2020;1
RJ;01/04/2020;1
RJ;01/04/2020;1
RJ;01/04/2020;1
RN;01/04/2020;1
RO;01/04/2020;1
RO;01/04/2020;1
RS;01/04/2020;1
RS;01/04/2020;1
RS;01/04/2020;2
RS;01/04/2020;1
RS;01/04/2020;1
RS;01/04/2020;2
RS;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SC;01/04/2020;1
SE;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;2
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;3
SP;01/04/2020;1
SP;01/04/2020;1
SP;01/04/2020;1
AC;01/05/2020;1
AC;01/05/2020;1
AL;01/05/2020;1
AL;01/05/2020;1
AM;01/05/2020;3
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;3
BA;01/05/2020;1
BA;01/05/2020;1
BA;01/05/2020;1
CE;01/05/2020;1
CE;01/05/2020;1
ES;01/05/2020;1
GO;01/05/2020;1
GO;01/05/2020;1
GO;01/05/2020;1
GO;01/05/2020;1
MA;01/05/2020;1
MA;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;2
MG;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;1
MG;01/05/2020;1
MS;01/05/2020;1
MS;01/05/2020;1
MS;01/05/2020;1
MS;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
MT;01/05/2020;1
PA;01/05/2020;1
PA;01/05/2020;1
PA;01/05/2020;1
PA;01/05/2020;1
PB;01/05/2020;1
PB;01/05/2020;1
PB;01/05/2020;1
PB;01/05/2020;1
PB;01/05/2020;1
PE;01/05/2020;1
PE;01/05/2020;1
PE;01/05/2020;1
PE;01/05/2020;1
PE;01/05/2020;1
PI;01/05/2020;1
PR;01/05/2020;1
PR;01/05/2020;1
PR;01/05/2020;1
RJ;01/05/2020;1
RJ;01/05/2020;1
RJ;01/05/2020;1
RJ;01/05/2020;1
RJ;01/05/2020;1
RJ;01/05/2020;1
RN;01/05/2020;1
RO;01/05/2020;1
RR;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
RS;01/05/2020;1
SC;01/05/2020;1
SC;01/05/2020;1
SE;01/05/2020;1
SE;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
SP;01/05/2020;1
TO;01/05/2020;1
AC;01/06/2020;1
AL;01/06/2020;1
AL;01/06/2020;1
AL;01/06/2020;1
AL;01/06/2020;1
AM;01/06/2020;2
BA;01/06/2020;1
BA;01/06/2020;1
BA;01/06/2020;2
BA;01/06/2020;2
CE;01/06/2020;1
CE;01/06/2020;1
CE;01/06/2020;1
DF;01/06/2020;1
DF;01/06/2020;1
ES;01/06/2020;1
ES;01/06/2020;1
ES;01/06/2020;1
GO;01/06/2020;1
GO;01/06/2020;1
GO;01/06/2020;2
