uf;data;vitimas
AL;01/01/2022;1
AL;01/01/2022;1
AL;01/01/2022;1
AL;01/01/2022;1
AL;01/01/2022;1
AM;01/01/2022;1
AM;01/01/2022;1
AM;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
BA;01/01/2022;1
CE;01/01/2022;1
CE;01/01/2022;1
DF;01/01/2022;1
DF;01/01/2022;1
ES;01/01/2022;1
ES;01/01/2022;1
ES;01/01/2022;1
ES;01/01/2022;1
ES;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
GO;01/01/2022;1
MA;01/01/2022;1
MA;01/01/2022;1
MA;01/01/2022;1
MA;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MG;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MS;01/01/2022;1
MT;01/01/2022;1
MT;01/01/2022;2
MT;01/01/2022;1
MT;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PA;01/01/2022;1
PB;01/01/2022;1
PE;01/01/2022;1
PE;01/01/2022;2
PE;01/01/2022;1
PE;01/01/2022;2
PE;01/01/2022;1
PI;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;2
PR;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;1
PR;01/01/2022;1
RJ;01/01/2022;1
RJ;01/01/2022;1
RJ;01/01/2022;1
RJ;01/01/2022;2
RJ;01/01/2022;2
RJ;01/01/2022;1
RJ;01/01/2022;2
RN;01/01/2022;1
RN;01/01/2022;1
RO;01/01/2022;1
RO;01/01/2022;1
RO;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;2
RS;01/01/2022;1
RS;01/01/2022;1
RS;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SC;01/01/2022;1
SE;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;4
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;1
SP;01/01/2022;4
SP;01/01/2022;1
TO;01/01/2022;1
TO;01/01/2022;1
AM;01/02/2022;1
AM;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
BA;01/02/2022;1
CE;01/02/2022;2
CE;01/02/2022;1
CE;01/02/2022;1
CE;01/02/2022;1
CE;01/02/2022;1
DF;01/02/2022;1
GO;01/02/2022;1
GO;01/02/2022;1
GO;01/02/2022;2
GO;01/02/2022;1
GO;01/02/2022;1
MA;01/02/2022;1
MA;01/02/2022;1
MA;01/02/2022;1
MA;01/02/2022;3
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MG;01/02/2022;1
MS;01/02/2022;1
MS;01/02/2022;1
MT;01/02/2022;1
MT;01/02/2022;1
MT;01/02/2022;1
PA;01/02/2022;1
PA;01/02/2022;1
PA;01/02/2022;1
PB;01/02/2022;1
PE;01/02/2022;1
PE;01/02/2022;1
PE;01/02/2022;1
PI;01/02/2022;1
PI;01/02/2022;1
PI;01/02/2022;1
PR;01/02/2022;1
PR;01/02/2022;2
PR;01/02/2022;1
PR;01/02/2022;1
PR;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;2
RJ;01/02/2022;2
RJ;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;5
RJ;01/02/2022;1
RJ;01/02/2022;1
RJ;01/02/2022;1
RN;01/02/2022;1
RN;01/02/2022;1
RN;01/02/2022;1
RN;01/02/2022;1
RO;01/02/2022;1
RO;01/02/2022;1
RO;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
RS;01/02/2022;1
SC;01/02/2022;1
SC;01/02/2022;1
SC;01/02/2022;1
SC;01/02/2022;1
SE;01/02/2022;1
SE;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;2
SP;01/02/2022;1
SP;01/02/2022;1
SP;01/02/2022;1
TO;01/02/2022;1
AL;01/03/2022;1
AL;01/03/2022;1
AL;01/03/2022;1
AP;01/03/2022;1
BA;01/03/2022;1
BA;01/03/2022;1
BA;01/03/2022;1
DF;01/03/2022;1
ES;01/03/2022;1
ES;01/03/2022;1
GO;01/03/2022;1
GO;01/03/2022;1
GO;01/03/2022;1
MA;01/03/2022;1
MA;01/03/2022;1
MA;01/03/2022;1
MA;01/03/2022;1
MG;01/03/2022;2
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;2
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MG;01/03/2022;1
MS;01/03/2022;1
MS;01/03/2022;2
MT;01/03/2022;1
