uf;data;vitimas
AL;01/01/2023;1
AL;01/01/2023;1
AL;01/01/2023;1
AM;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
BA;01/01/2023;1
CE;01/01/2023;2
CE;01/01/2023;1
CE;01/01/2023;1
CE;01/01/2023;2
DF;01/01/2023;3
DF;01/01/2023;1
DF;01/01/2023;1
ES;01/01/2023;1
ES;01/01/2023;1
ES;01/01/2023;1
ES;01/01/2023;1
GO;01/01/2023;1
GO;01/01/2023;1
GO;01/01/2023;1
GO;01/01/2023;1
GO;01/01/2023;1
GO;01/01/2023;1
MA;01/01/2023;1
MA;01/01/2023;1
MA;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MG;01/01/2023;1
MS;01/01/2023;1
MS;01/01/2023;1
MT;01/01/2023;1
MT;01/01/2023;2
MT;01/01/2023;1
MT;01/01/2023;1
PA;01/01/2023;1
PA;01/01/2023;1
PB;01/01/2023;1
PB;01/01/2023;1
PB;01/01/2023;1
PB;01/01/2023;1
PE;01/01/2023;1
PE;01/01/2023;1
PE;01/01/2023;1
PE;01/01/2023;1
PE;01/01/2023;1
PI;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
PR;01/01/2023;1
RJ;01/01/2023;1
RJ;01/01/2023;1
RJ;01/01/2023;1
RJ;01/01/2023;1
RJ;01/01/2023;1
RJ;01/01/2023;3
RJ;01/01/2023;1
RN;01/01/2023;1
RO;01/01/2023;1
RS;01/01/2023;1
RS;01/01/2023;3
RS;01/01/2023;1
RS;01/01/2023;1
RS;01/01/2023;1
RS;01/01/2023;1
RS;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SC;01/01/2023;1
SE;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;2
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;2
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
SP;01/01/2023;1
AL;01/02/2023;1
AL;01/02/2023;1
AM;01/02/2023;1
BA;01/02/2023;1
BA;01/02/2023;1
BA;01/02/2023;1
BA;01/02/2023;1
BA;01/02/2023;1
BA;01/02/2023;1
CE;01/02/2023;1
DF;01/02/2023;1
DF;01/02/2023;1
ES;01/02/2023;1
ES;01/02/2023;1
ES;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
GO;01/02/2023;1
MA;01/02/2023;1
MA;01/02/2023;1
MA;01/02/2023;1
MA;01/02/2023;1
MA;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;2
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MG;01/02/2023;1
MS;01/02/2023;1
MS;01/02/2023;1
MT;01/02/2023;1
MT;01/02/2023;1
MT;01/02/2023;1
PA;01/02/2023;1
PA;01/02/2023;1
PA;01/02/2023;1
PA;01/02/2023;1
PA;01/02/2023;1
PA;01/02/2023;1
PB;01/02/2023;1
PE;01/02/2023;1
PE;01/02/2023;1
PE;01/02/2023;1
PE;01/02/2023;1
PE;01/02/2023;1
PI;01/02/2023;1
PI;01/02/2023;1
PI;01/02/2023;1
PI;01/02/2023;1
PR;01/02/2023;1
PR;01/02/2023;1
PR;01/02/2023;1
PR;01/02/2023;1
PR;01/02/2023;1
PR;01/02/2023;1
RJ;01/02/2023;1
RJ;01/02/2023;5
RJ;01/02/2023;1
RN;01/02/2023;1
RN;01/02/2023;2
RN;01/02/2023;1
RN;01/02/2023;1
RO;01/02/2023;1
RO;01/02/2023;2
RS;01/02/2023;1
RS;01/02/2023;1
RS;01/02/2023;1
RS;01/02/2023;1
RS;01/02/2023;1
RS;01/02/2023;1
SC;01/02/2023;1
SC;01/02/2023;1
SC;01/02/2023;1
SC;01/02/2023;1
SC;01/02/2023;1
SE;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;2
SP;01/02/2023;3
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;1
SP;01/02/2023;4
SP;01/02/2023;1
AL;01/03/2023;1
AL;01/03/2023;1
AL;01/03/2023;1
AM;01/03/2023;1
BA;01/03/2023;1
BA;01/03/2023;1
