uf;data;vitimas
AC;01/01/2019;1
AC;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
AL;01/01/2019;1
BA;01/01/2019;1
BA;01/01/2019;1
BA;01/01/2019;1
BA;01/01/2019;1
BA;01/01/2019;1
CE;01/01/2019;1
DF;01/01/2019;2
DF;01/01/2019;1
ES;01/01/2019;1
ES;01/01/2019;1
ES;01/01/2019;1
ES;01/01/2019;1
ES;01/01/2019;1
GO;01/01/2019;1
GO;01/01/2019;1
MA;01/01/2019;1
MA;01/01/2019;1
MA;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MG;01/01/2019;1
MS;01/01/2019;1
MT;01/01/2019;1
MT;01/01/2019;1
MT;01/01/2019;1
MT;01/01/2019;1
MT;01/01/2019;1
MT;01/01/2019;1
PA;01/01/2019;1
PB;01/01/2019;1
PB;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PE;01/01/2019;1
PI;01/01/2019;1
PI;01/01/2019;1
PR;01/01/2019;1
PR;01/01/2019;2
PR;01/01/2019;1
PR;01/01/2019;1
RJ;01/01/2019;1
RJ;01/01/2019;2
RJ;01/01/2019;2
RN;01/01/2019;1
RN;01/01/2019;1
RN;01/01/2019;1
RN;01/01/2019;1
RN;01/01/2019;1
RN;01/01/2019;1
RO;01/01/2019;1
RS;01/01/2019;1
RS;01/01/2019;1
SC;01/01/2019;1
SC;01/01/2019;1
SC;01/01/2019;1
SC;01/01/2019;1
SC;01/01/2019;1
SC;01/01/2019;1
SE;01/01/2019;1
SE;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;1
SP;01/01/2019;2
SP;01/01/2019;1
SP;01/01/2019;1
AL;01/02/2019;1
AM;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;1
BA;01/02/2019;2
BA;01/02/2019;1
BA;01/02/2019;1
CE;01/02/2019;1
CE;01/02/2019;1
ES;01/02/2019;1
