uf;data;vitimas
AC;01/01/2024;2
AM;01/01/2024;1
AM;01/01/2024;1
BA;01/01/2024;1
BA;01/01/2024;1
BA;01/01/2024;1
BA;01/01/2024;1
BA;01/01/2024;1
BA;01/01/2024;1
CE;01/01/2024;3
CE;01/01/2024;1
DF;01/01/2024;1
DF;01/01/2024;1
DF;01/01/2024;1
DF;01/01/2024;1
ES;01/01/2024;1
ES;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
GO;01/01/2024;1
MA;01/01/2024;1
MA;01/01/2024;1
MA;01/01/2024;1
MA;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MG;01/01/2024;1
MS;01/01/2024;1
MS;01/01/2024;1
MS;01/01/2024;1
MT;01/01/2024;1
MT;01/01/2024;2
MT;01/01/2024;1
PA;01/01/2024;1
PA;01/01/2024;1
PA;01/01/2024;1
PB;01/01/2024;1
PE;01/01/2024;1
PE;01/01/2024;1
PE;01/01/2024;2
PE;01/01/2024;2
PE;01/01/2024;1
PI;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
PR;01/01/2024;1
RJ;01/01/2024;1
RJ;01/01/2024;1
RJ;01/01/2024;1
RJ;01/01/2024;1
RJ;01/01/2024;1
RJ;01/01/2024;5
RJ;01/01/2024;1
RJ;01/01/2024;1
RN;01/01/2024;1
RN;01/01/2024;1
RO;01/01/2024;1
RO;01/01/2024;1
RO;01/01/2024;1
RR;01/01/2024;3
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
RS;01/01/2024;1
SC;01/01/2024;1
SC;01/01/2024;1
SC;01/01/2024;1
SC;01/01/2024;1
SC;01/01/2024;1
SE;01/01/2024;1
SE;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;2
SP;01/01/2024;2
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;1
SP;01/01/2024;5
SP;01/01/2024;1
SP;01/01/2024;1
TO;01/01/2024;1
AM;01/02/2024;1
AM;01/02/2024;1
AP;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;1
BA;01/02/2024;2
CE;01/02/2024;1
DF;01/02/2024;1
ES;01/02/2024;1
ES;01/02/2024;1
ES;01/02/2024;1
ES;01/02/2024;1
GO;01/02/2024;1
GO;01/02/2024;1
MA;01/02/2024;1
MA;01/02/2024;1
MG;01/02/2024;1
MG;01/02/2024;1
MG;01/02/2024;1
MG;01/02/2024;1
MG;01/02/2024;1
MG;01/02/2024;1
