uf;data;vitimas
AC;01/01/2018;1
AC;01/01/2018;1
AC;01/01/2018;1
AL;01/01/2018;2
AL;01/01/2018;1
BA;01/01/2018;1
BA;01/01/2018;1
BA;01/01/2018;1
BA;01/01/2018;1
CE;01/01/2018;1
CE;01/01/2018;1
CE;01/01/2018;1
CE;01/01/2018;1
DF;01/01/2018;1
DF;01/01/2018;1
DF;01/01/2018;1
ES;01/01/2018;1
ES;01/01/2018;1
ES;01/01/2018;1
ES;01/01/2018;1
GO;01/01/2018;1
MA;01/01/2018;1
MA;01/01/2018;1
MA;01/01/2018;1
MA;01/01/2018;1
MG;01/01/2018;1
MG;01/01/2018;1
MG;01/01/2018;1
MG;01/01/2018;1
MG;01/01/2018;1
MG;01/01/2018;3
MG;01/01/2018;1
MS;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PA;01/01/2018;1
PB;01/01/2018;1
PB;01/01/2018;2
PB;01/01/2018;1
PB;01/01/2018;1
PB;01/01/2018;1
PB;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PE;01/01/2018;1
PI;01/01/2018;1
PI;01/01/2018;1
PI;01/01/2018;2
PR;01/01/2018;1
PR;01/01/2018;1
PR;01/01/2018;1
PR;01/01/2018;1
RJ;01/01/2018;1
RJ;01/01/2018;1
RJ;01/01/2018;1
RJ;01/01/2018;1
RJ;01/01/2018;1
RJ;01/01/2018;1
RN;01/01/2018;1
RN;01/01/2018;1
RN;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
RS;01/01/2018;1
SC;01/01/2018;1
SC;01/01/2018;1
SC;01/01/2018;1
SC;01/01/2018;1
SE;01/01/2018;1
SE;01/01/2018;2
SP;01/01/2018;1
SP;01/01/2018;1
SP;01/01/2018;1
SP;01/01/2018;1
SP;01/01/2018;1
AC;01/02/2018;1
BA;01/02/2018;1
BA;01/02/2018;1
BA;01/02/2018;1
BA;01/02/2018;1
BA;01/02/2018;1
BA;01/02/2018;1
CE;01/02/2018;1
CE;01/02/2018;1
DF;01/02/2018;1
DF;01/02/2018;1
ES;01/02/2018;1
GO;01/02/2018;2
GO;01/02/2018;1
GO;01/02/2018;1
MA;01/02/2018;1
MA;01/02/2018;1
MA;01/02/2018;1
MA;01/02/2018;1
MA;01/02/2018;1
MG;01/02/2018;1
MG;01/02/2018;1
MG;01/02/2018;1
MG;01/02/2018;2
MG;01/02/2018;1
MG;01/02/2018;1
MG;01/02/2018;2
MG;01/02/2018;1
MS;01/02/2018;1
MS;01/02/2018;1
PA;01/02/2018;1
PA;01/02/2018;1
PA;01/02/2018;1
PA;01/02/2018;1
PA;01/02/2018;1
PA;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PB;01/02/2018;1
PE;01/02/2018;1
PE;01/02/2018;1
PE;01/02/2018;1
PR;01/02/2018;1
PR;01/02/2018;1
PR;01/02/2018;1
RJ;01/02/2018;2
RJ;01/02/2018;1
RJ;01/02/2018;1
RJ;01/02/2018;1
RJ;01/02/2018;2
RN;01/02/2018;1
RS;01/02/2018;2
RS;01/02/2018;1
SC;01/02/2018;1
SE;01/02/2018;2
SE;01/02/2018;1
SP;01/02/2018;1
SP;01/02/2018;1
SP;01/02/2018;1
SP;01/02/2018;1
SP;01/02/2018;4
AL;01/03/2018;1
AP;01/03/2018;1
BA;01/03/2018;1
BA;01/03/2018;1
BA;01/03/2018;1
BA;01/03/2018;1
CE;01/03/2018;1
CE;01/03/2018;1
CE;01/03/2018;1
DF;01/03/2018;1
DF;01/03/2018;2
DF;01/03/2018;1
ES;01/03/2018;1
ES;01/03/2018;1
ES;01/03/2018;1
ES;01/03/2018;1
GO;01/03/2018;1
GO;01/03/2018;1
MA;01/03/2018;1
MA;01/03/2018;1
MA;01/03/2018;1
MG;01/03/2018;1
MG;01/03/2018;1
MG;01/03/2018;2
MG;01/03/2018;1
MG;01/03/2018;1
MG;01/03/2018;1
MG;01/03/2018;3
MG;01/03/2018;1
MG;01/03/2018;1
MG;01/03/2018;1
MS;01/03/2018;1
PA;01/03/2018;1
PA;01/03/2018;1
PA;01/03/2018;1
PA;01/03/2018;1
PB;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PE;01/03/2018;1
PI;01/03/2018;1
PI;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
PR;01/03/2018;1
RJ;01/03/2018;2
RJ;01/03/2018;1
RJ;01/03/2018;1
RJ;01/03/2018;1
RJ;01/03/2018;1
RN;01/03/2018;1
RN;01/03/2018;1
RN;01/03/2018;2
RN;01/03/2018;1
RS;01/03/2018;1
RS;01/03/2018;1
RS;01/03/2018;3
RS;01/03/2018;1
RS;01/03/2018;1
RS;01/03/2018;1
SC;01/03/2018;1
SC;01/03/2018;1
SC;01/03/2018;1
SE;01/03/2018;1
SP;01/03/2018;1
SP;01/03/2018;1
SP;01/03/2018;1
SP;01/03/2018;2
SP;01/03/2018;1
SP;01/03/2018;1
SP;01/03/2018;1
TO;01/03/2018;1
AC;01/04/2018;1
AC;01/04/2018;1
AL;01/04/2018;1
AL;01/04/2018;1
BA;01/04/2018;1
BA;01/04/2018;1
BA;01/04/2018;1
BA;01/04/2018;1
BA;01/04/2018;2
BA;01/04/2018;1
BA;01/04/2018;1
BA;01/04/2018;1
DF;01/04/2018;1
DF;01/04/2018;1
ES;01/04/2018;1
ES;01/04/2018;1
GO;01/04/2018;1
MA;01/04/2018;1
MA;01/04/2018;1
MA;01/04/2018;1
MA;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;1
MG;01/04/2018;2
MG;01/04/2018;1
MS;01/04/2018;1
MS;01/04/2018;1
MS;01/04/2018;1
MS;01/04/2018;1
PA;01/04/2018;1
PA;01/04/2018;1
PA;01/04/2018;1
PB;01/04/2018;1
PB;01/04/2018;1
PE;01/04/2018;1
PE;01/04/2018;1
PI;01/04/2018;1
PI;01/04/2018;1
PI;01/04/2018;1
PR;01/04/2018;1
PR;01/04/2018;1
PR;01/04/2018;1
PR;01/04/2018;1
PR;01/04/2018;1
PR;01/04/2018;1
RJ;01/04/2018;1
RJ;01/04/2018;1
RJ;01/04/2018;1
RJ;01/04/2018;1
RJ;01/04/2018;1
RS;01/04/2018;1
RS;01/04/2018;1
RS;01/04/2018;1
RS;01/04/2018;2
RS;01/04/2018;2
RS;01/04/2018;2
RS;01/04/2018;1
RS;01/04/2018;1
SC;01/04/2018;1
SC;01/04/2018;1
SE;01/04/2018;1
SE;01/04/2018;1
SE;01/04/2018;1
SE;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;2
SP;01/04/2018;1
SP;01/04/2018;1
SP;01/04/2018;1
BA;01/05/2018;1
BA;01/05/2018;1
BA;01/05/2018;1
BA;01/05/2018;1
BA;01/05/2018;1
BA;01/05/2018;1
