uf;data;vitimas
AC;01/01/2017;1
AL;01/01/2017;1
AM;01/01/2017;1
BA;01/01/2017;1
BA;01/01/2017;2
BA;01/01/2017;1
BA;01/01/2017;1
DF;01/01/2017;1
DF;01/01/2017;1
ES;01/01/2017;1
ES;01/01/2017;1
ES;01/01/2017;1
ES;01/01/2017;1
GO;01/01/2017;1
GO;01/01/2017;1
MA;01/01/2017;1
MA;01/01/2017;1
MA;01/01/2017;1
MA;01/01/2017;1
MA;01/01/2017;2
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;2
MG;01/01/2017;1
MG;01/01/2017;1
MG;01/01/2017;1
MS;01/01/2017;1
PA;01/01/2017;1
PB;01/01/2017;1
PI;01/01/2017;1
PI;01/01/2017;1
RJ;01/01/2017;1
RJ;01/01/2017;1
RJ;01/01/2017;1
RJ;01/01/2017;4
RN;01/01/2017;1
RN;01/01/2017;1
RR;01/01/2017;3
RS;01/01/2017;1
RS;01/01/2017;2
RS;01/01/2017;1
RS;01/01/2017;1
RS;01/01/2017;2
RS;01/01/2017;1
RS;01/01/2017;1
SC;01/01/2017;2
SC;01/01/2017;1
SC;01/01/2017;1
SP;01/01/2017;9
SP;01/01/2017;1
SP;01/01/2017;1
SP;01/01/2017;1
SP;01/01/2017;1
SP;01/01/2017;3
SP;01/01/2017;1
AC;01/02/2017;1
AL;01/02/2017;1
AL;01/02/2017;1
AL;01/02/2017;2
AM;01/02/2017;2
BA;01/02/2017;1
DF;01/02/2017;1
ES;01/02/2017;1
ES;01/02/2017;1
ES;01/02/2017;1
ES;01/02/2017;1
MA;01/02/2017;1
MA;01/02/2017;1
MA;01/02/2017;1
MA;01/02/2017;1
MA;01/02/2017;2
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;2
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;1
MG;01/02/2017;2
MG;01/02/2017;1
MS;01/02/2017;1
PA;01/02/2017;1
PA;01/02/2017;1
PB;01/02/2017;1
PB;01/02/2017;1
PI;01/02/2017;1
PR;01/02/2017;1
PR;01/02/2017;2
RJ;01/02/2017;1
RJ;01/02/2017;2
RJ;01/02/2017;1
RJ;01/02/2017;1
RJ;01/02/2017;2
RN;01/02/2017;1
RN;01/02/2017;1
RS;01/02/2017;1
RS;01/02/2017;1
RS;01/02/2017;2
RS;01/02/2017;2
RS;01/02/2017;1
RS;01/02/2017;1
SC;01/02/2017;1
SC;01/02/2017;1
SC;01/02/2017;3
SE;01/02/2017;1
SP;01/02/2017;1
SP;01/02/2017;1
SP;01/02/2017;1
SP;01/02/2017;1
SP;01/02/2017;1
SP;01/02/2017;2
SP;01/02/2017;2
SP;01/02/2017;2
SP;01/02/2017;1
AC;01/03/2017;1
AL;01/03/2017;1
AL;01/03/2017;1
AL;01/03/2017;2
AL;01/03/2017;1
AL;01/03/2017;1
AM;01/03/2017;1
BA;01/03/2017;1
BA;01/03/2017;1
BA;01/03/2017;2
DF;01/03/2017;1
DF;01/03/2017;1
ES;01/03/2017;1
ES;01/03/2017;1
ES;01/03/2017;1
ES;01/03/2017;1
GO;01/03/2017;1
MA;01/03/2017;1
MA;01/03/2017;1
MG;01/03/2017;1
MG;01/03/2017;1
MG;01/03/2017;1
